nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -3.583773346E-03  5.427933161E-01  5.387033693E-01  7.650483920E-01  2.043872750E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  5.126047096E-03  5.867077984E-01  5.943536260E-01  8.352649801E-01  2.069876011E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  4.307949171E-02  6.223228084E-01  7.387874851E-01  9.701808903E-01  2.073894842E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.332891276E-02  4.756700385E-01  4.641709299E-01  6.649546112E-01  2.017303505E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  7.892082170E-03  5.229758184E-01  5.534984847E-01  7.624209571E-01  2.046408177E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.208234422E-02  4.359362443E-01  4.239788896E-01  6.093847009E-01  1.985654697E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  6.337093010E-03  6.348109529E-01  6.838713509E-01  9.336453911E-01  2.088920460E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  6.513949653E-02  7.471492723E-01  9.707868379E-01  1.229056823E+00  2.026128754E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -2.176653062E-02  4.575211737E-01  4.375086524E-01  6.337824246E-01  1.964951749E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  1.994409767E-02  7.720044554E-01  9.333655423E-01  1.212040150E+00  2.072823716E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  4.244394214E-02  8.170742844E-01  1.074850104E+00  1.351426950E+00  1.994995345E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  8.605897939E-02  7.912654838E-01  1.145814639E+00  1.396629532E+00  1.906056616E+01 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -2.604010008E-02  4.115046518E-01  3.701853365E-01  5.546620378E-01  1.918033152E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  1.112947693E-01  7.672280698E-01  1.185017002E+00  1.420850671E+00  1.839950540E+01 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -3.005307277E-02  4.269319848E-01  3.865422477E-01  5.768408261E-01  1.839801125E+01 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -3.093029335E-02  3.532574149E-01  3.059615296E-01  4.686804504E-01  1.876153417E+01 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  2.755625968E-02  8.343666478E-01  1.077956131E+00  1.365127689E+00  2.010461009E+01 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  1.038040548E-01  8.020148912E-01  1.308667101E+00  1.543810631E+00  1.729305906E+01 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -3.585155134E-02  3.945137537E-01  3.239214068E-01  5.123226640E-01  1.791830995E+01 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  6.666168415E-02  8.680669218E-01  1.368591065E+00  1.625414570E+00  1.578349838E+01 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -4.471314455E-02  3.481481623E-01  3.069321373E-01  4.666310196E-01  1.754587680E+01 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  1.709651244E-02  8.125618922E-01  1.099820950E+00  1.370771493E+00  1.941271089E+01 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
        23  1.368920288E-01  1.849813843E-01 -1.642066345E-01 -1.974202374E-02  6.051360959E-01  1.010503005E+00  1.179025879E+00  1.359368067E+01 -1.642066345E-01  1.849813843E-01  1.368920288E-01 
        24  1.361627655E-01  1.842234955E-01 -1.642064209E-01  2.642904444E-02  8.626500944E-01  1.323552047E+00  1.582329841E+00  1.453770754E+01 -1.642064209E-01  1.842234955E-01  1.361627655E-01 
        25  1.363498077E-01  1.844236755E-01 -1.642064514E-01 -1.746848199E-02  7.724767187E-01  1.145753470E+00  1.383972997E+00  1.377605284E+01 -1.642064514E-01  1.844236755E-01  1.363498077E-01 
        26  1.365255737E-01  1.846117859E-01 -1.642064819E-01 -3.863735931E-02  6.575013234E-01  1.023863349E+00  1.218683470E+00  1.363363533E+01 -1.642064819E-01  1.846117859E-01  1.365255737E-01 
        27  1.367132874E-01  1.848011017E-01 -1.642065582E-01 -3.278343425E-02  5.822400981E-01  9.679416000E-01  1.131229791E+00  1.374318539E+01 -1.642065582E-01  1.848011017E-01  1.367132874E-01 
        28  1.371019440E-01  1.849657440E-01 -1.642048645E-01  9.763310048E-03  6.353018045E-01  9.636878536E-01  1.155319029E+00  1.318821832E+01 -1.642048645E-01  1.849657440E-01  1.371019440E-01 
        29  1.341365356E-01  1.825439911E-01 -1.642038727E-01 -4.849606147E-02  4.787129185E-01  4.192474363E-01  6.396872141E-01  1.700699012E+01 -1.642038727E-01  1.825439911E-01  1.341365356E-01 
        30  1.373064575E-01  1.849505157E-01 -1.642031403E-01  3.261252752E-02  6.800252857E-01  9.108007222E-01  1.137941326E+00  1.287147678E+01 -1.642031403E-01  1.849505157E-01  1.373064575E-01 
        31  1.370599213E-01  1.851455383E-01 -1.641974182E-01 -7.859969183E-04  7.323777176E-01  1.074401333E+00  1.301458411E+00  1.300279743E+01 -1.641974182E-01  1.851455383E-01  1.370599213E-01 
        32  1.367454071E-01  1.845979004E-01 -1.641969147E-01 -1.436988099E-02  5.856367482E-01  9.671975036E-01  1.131216058E+00  1.343459816E+01 -1.641969147E-01  1.845979004E-01  1.367454071E-01 
        33  1.369213867E-01  1.847758942E-01 -1.641970062E-01 -2.710481581E-03  5.747468096E-01  9.586346239E-01  1.118134973E+00  1.347391104E+01 -1.641970062E-01  1.847758942E-01  1.369213867E-01 
        34  1.371403809E-01  1.847808990E-01 -1.641961365E-01  8.611618286E-03  5.758507032E-01  8.629816916E-01  1.038385868E+00  1.327231451E+01 -1.641961365E-01  1.847808990E-01  1.371403809E-01 
        35  1.372819519E-01  1.851185913E-01 -1.641959991E-01  3.907296732E-02  7.723020939E-01  1.057298189E+00  1.310420043E+00  1.248669896E+01 -1.641959991E-01  1.851185913E-01  1.372819519E-01 
        36  1.341650696E-01  1.823423309E-01 -1.641958618E-01 -6.183584280E-02  4.602971014E-01  3.975082077E-01  6.124971129E-01  1.670961073E+01 -1.641958618E-01  1.823423309E-01  1.341650696E-01 
        37  1.374894867E-01  1.851305542E-01 -1.641956482E-01  5.502627152E-02  8.759814150E-01  1.072800634E+00  1.386904345E+00  1.177124066E+01 -1.641956482E-01  1.851305542E-01  1.374894867E-01 
        38  1.355567627E-01  1.840160522E-01 -1.641892700E-01  2.800219018E-03  8.628662883E-01  1.225592487E+00  1.502378911E+00  1.873279767E+01 -1.641892700E-01  1.840160522E-01  1.355567627E-01 
        39  1.359740143E-01  1.842183685E-01 -1.641892242E-01  2.716427462E-02  9.301406880E-01  1.382752126E+00  1.667488673E+00  1.571144146E+01 -1.641892242E-01  1.842183685E-01  1.359740143E-01 
        40  1.369486389E-01  1.845850525E-01 -1.641880646E-01  6.285808421E-03  5.360124010E-01  8.729549233E-01  1.025117399E+00  1.330466588E+01 -1.641880646E-01  1.845850525E-01  1.369486389E-01 
        41  1.376733704E-01  1.853114319E-01 -1.641881104E-01  7.896057127E-02  1.068754921E+00  1.251174611E+00  1.649824695E+00  9.806681735E+00 -1.641881104E-01  1.853114319E-01  1.376733704E-01 
        42  1.374749298E-01  1.853211823E-01 -1.641875610E-01  7.882005429E-02  9.775636355E-01  1.218534493E+00  1.565209217E+00  1.097420324E+01 -1.641875610E-01  1.853211823E-01  1.374749298E-01 
        43  1.372508087E-01  1.853321991E-01 -1.641869354E-01  3.549665843E-02  8.647036667E-01  1.196904090E+00  1.478245660E+00  1.193778656E+01 -1.641869354E-01  1.853321991E-01  1.372508087E-01 
        44  1.344767914E-01  1.830994873E-01 -1.641842346E-01 -1.004708343E-02  5.341283713E-01  5.185626694E-01  7.452108250E-01  1.995086455E+01 -1.641842346E-01  1.830994873E-01  1.344767914E-01 
        45  1.378321533E-01  1.854756165E-01 -1.641820831E-01  6.382732514E-02  1.156900668E+00  1.414228202E+00  1.831436814E+00  7.254527387E+00 -1.641820831E-01  1.854756165E-01  1.378321533E-01 
        46  1.339383240E-01  1.823472595E-01 -1.641807251E-01 -6.632922341E-02  6.011876992E-01  5.471286467E-01  8.161011958E-01  1.553603400E+01 -1.641807251E-01  1.823472595E-01  1.339383240E-01 
        47  1.346589050E-01  1.833033447E-01 -1.641797180E-01  1.789867379E-03  6.147758052E-01  6.170458261E-01  8.713364323E-01  2.068847680E+01 -1.641797180E-01  1.833033447E-01  1.346589050E-01 
        48  1.349361267E-01  1.827012024E-01 -1.641794586E-01  1.887729802E-02  5.011604951E-01  5.640712262E-01  7.551759791E-01  2.014279656E+01 -1.641794586E-01  1.827012024E-01  1.349361267E-01 
        49  1.365604553E-01  1.844005432E-01 -1.641774445E-01  3.793962826E-03  7.027500891E-01  1.108610511E+00  1.313762833E+00  1.340063151E+01 -1.641774445E-01  1.844005432E-01  1.365604553E-01 
        50  1.348194580E-01  1.834683685E-01 -1.641761475E-01  2.586469861E-02  7.112128503E-01  7.718432823E-01  1.050855993E+00  2.104671066E+01 -1.641761475E-01  1.834683685E-01  1.348194580E-01 
        51  1.347533875E-01  1.824999847E-01 -1.641753387E-01 -8.421167293E-03  3.548862830E-01  3.671218878E-01  5.117324040E-01  1.947896686E+01 -1.641753387E-01  1.824999847E-01  1.347533875E-01 
        52  1.364077759E-01  1.842134247E-01 -1.641746521E-01  3.249367947E-02  7.626971109E-01  1.203345681E+00  1.425416005E+00  1.375593060E+01 -1.641746521E-01  1.842134247E-01  1.364077759E-01 
        53  1.380330200E-01  1.856832886E-01 -1.641744537E-01  4.661453338E-02  1.016127873E+00  1.441193890E+00  1.767781932E+00  4.903464930E+00 -1.641744537E-01  1.856832886E-01  1.380330200E-01 
        54  1.341714630E-01  1.821372375E-01 -1.641742096E-01 -6.676717858E-02  3.845024895E-01  3.611168734E-01  5.317419647E-01  1.626816611E+01 -1.641742096E-01  1.821372375E-01  1.341714630E-01 
        55  1.381920319E-01  1.858562775E-01 -1.641712646E-01  1.340269735E-02  8.589173476E-01  1.221764896E+00  1.495760519E+00  3.851791682E+00 -1.641712646E-01  1.858562775E-01  1.381920319E-01 
        56  1.342938843E-01  1.829404144E-01 -1.641692352E-01 -3.424782136E-02  4.748243188E-01  4.715247960E-01  6.706399083E-01  1.897146405E+01 -1.641692352E-01  1.829404144E-01  1.342938843E-01 
        57  1.367697296E-01  1.843944855E-01 -1.641692810E-01  1.215338343E-03  6.095972188E-01  9.557351450E-01  1.134785391E+00  1.320674800E+01 -1.641692810E-01  1.843944855E-01  1.367697296E-01 
        58  1.374144897E-01  1.854968872E-01 -1.641678009E-01  7.802282999E-02  1.047414862E+00  1.327179262E+00  1.695076814E+00  1.038940552E+01 -1.641678009E-01  1.854968872E-01  1.374144897E-01 
        59  1.383805389E-01  1.860613708E-01 -1.641674805E-01  4.670491455E-03  7.796848440E-01  1.084608281E+00  1.337839532E+00  3.478799909E+00 -1.641674805E-01  1.860613708E-01  1.383805389E-01 
        60  1.357325134E-01  1.842118225E-01 -1.641672211E-01  1.473236124E-02  9.442621018E-01  1.378097256E+00  1.672948913E+00  1.734401814E+01 -1.641672211E-01  1.842118225E-01  1.357325134E-01 
