nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -2.066681050E-03  2.114743392E-01  2.119066847E-01  2.994866625E-01  7.380598967E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  1.798855741E-03  2.228338519E-01  2.236199083E-01  3.157901531E-01  7.373043154E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  1.080377170E-02  2.315424939E-01  2.515088807E-01  3.426448471E-01  7.324772071E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -5.768242673E-03  2.034570399E-01  1.996108652E-01  2.851590209E-01  7.391885235E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  7.370142824E-04  2.134983249E-01  2.186250922E-01  3.056566874E-01  7.390697990E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -6.884540977E-03  1.977965731E-01  1.897759178E-01  2.744330488E-01  7.396119280E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  2.177588371E-03  2.268442851E-01  2.416718988E-01  3.316367609E-01  7.332421957E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  1.717777405E-02  2.540871137E-01  3.039893443E-01  3.968895711E-01  7.146002168E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -8.624147946E-03  1.970784031E-01  1.853489722E-01  2.707093998E-01  7.339755488E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  6.442251710E-03  2.506846099E-01  2.960749245E-01  3.881360182E-01  7.205795472E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  1.349037472E-02  2.623694874E-01  3.238127976E-01  4.171516494E-01  7.027478908E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
