nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.056152104E-02  8.286869489E-01  8.630237079E-01  1.196961690E+00  3.478629037E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  7.774808311E-03  8.965275074E-01  9.229393589E-01  1.287330161E+00  3.548556850E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  7.227980496E-02  1.023765830E+00  1.218366745E+00  1.598377631E+00  3.590942482E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -2.015086466E-02  6.986344318E-01  7.028169304E-01  9.916098331E-01  3.401274463E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  1.588694747E-02  7.993944088E-01  8.532868538E-01  1.171497768E+00  3.483804681E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -9.457440467E-03  6.241488817E-01  6.542508872E-01  9.061522793E-01  3.315694303E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  6.612600025E-03  1.017765374E+00  1.122797700E+00  1.516017310E+00  3.620336844E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  1.162500643E-01  1.303970912E+00  1.700328110E+00  2.150125197E+00  3.520146496E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -4.021773238E-02  6.981727444E-01  7.107463071E-01  9.978139495E-01  3.285857057E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  3.175712035E-02  1.331646598E+00  1.626435886E+00  2.103499315E+00  3.624818600E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  7.512666607E-02  1.444264330E+00  1.905333546E+00  2.393109022E+00  3.465028502E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  1.624503248E-01  1.434903986E+00  2.101632282E+00  2.553231196E+00  3.279355074E+01 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -3.982902625E-02  6.075098807E-01  5.814050199E-01  8.426462970E-01  3.167569990E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
