nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.973303807E-03  1.661767136E-01  1.686335179E-01  2.368363078E-01  5.942199299E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  1.398732687E-03  1.750872916E-01  1.759772659E-01  2.483416389E-01  5.927989429E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  7.870925549E-03  1.837126030E-01  1.967703387E-01  2.697468469E-01  5.887017568E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -4.622468877E-03  1.614259044E-01  1.595084462E-01  2.270398808E-01  5.957521651E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  5.170389159E-05  1.704096366E-01  1.723892737E-01  2.424438311E-01  5.948441857E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -5.867778011E-03  1.595067397E-01  1.522880690E-01  2.207734666E-01  5.971081237E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  1.538782180E-03  1.781166317E-01  1.906828918E-01  2.610628244E-01  5.889862580E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  1.291036947E-02  2.000447713E-01  2.362652910E-01  3.100577962E-01  5.747729122E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -7.319364724E-03  1.571318272E-01  1.503954800E-01  2.176487990E-01  5.931938057E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  4.951726271E-03  1.957586669E-01  2.305471033E-01  3.025881409E-01  5.785172853E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  1.053396664E-02  2.052290410E-01  2.504276449E-01  3.240814933E-01  5.653536185E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  1.768296947E-02  2.059615381E-01  2.686553632E-01  3.392304221E-01  5.499178014E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -9.854213888E-03  1.532564912E-01  1.405870190E-01  2.082588274E-01  5.926119311E+00 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  2.321495933E-02  1.987836875E-01  2.741063928E-01  3.402524970E-01  5.331814193E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -1.082769490E-02  1.480860378E-01  1.363015695E-01  2.015931904E-01  5.851047388E+00 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -1.230085585E-02  1.444814221E-01  1.330034049E-01  1.968073107E-01  5.924478979E+00 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  6.628492585E-03  2.036093012E-01  2.546602383E-01  3.263600645E-01  5.635867797E+00 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  2.175243145E-02  1.994754093E-01  3.016109938E-01  3.630352471E-01  5.129176681E+00 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -1.361269441E-02  1.438863898E-01  1.292991750E-01  1.939822821E-01  5.828949403E+00 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  1.503414767E-02  2.111512565E-01  3.132447392E-01  3.786800592E-01  4.865764297E+00 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -1.600805549E-02  1.318891003E-01  1.307217484E-01  1.865249460E-01  5.805256799E+00 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  3.610401970E-03  1.947011144E-01  2.588628132E-01  3.244083085E-01  5.462248190E+00 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
        23  1.368920288E-01  1.849813843E-01 -1.642066345E-01 -2.737259055E-03  1.859597417E-01  2.735997256E-01  3.310634564E-01  4.044022240E+00 -1.642066345E-01  1.849813843E-01  1.368920288E-01 
        24  1.361627655E-01  1.842234955E-01 -1.642064209E-01  5.988982018E-03  2.121546576E-01  3.128353852E-01  3.784997980E-01  4.620627542E+00 -1.642064209E-01  1.842234955E-01  1.361627655E-01 
        25  1.363498077E-01  1.844236755E-01 -1.642064514E-01 -4.084487702E-03  2.010185397E-01  2.861704538E-01  3.501456360E-01  4.414342022E+00 -1.642064514E-01  1.844236755E-01  1.363498077E-01 
        26  1.365255737E-01  1.846117859E-01 -1.642064819E-01 -9.862656035E-03  1.828931758E-01  2.690819795E-01  3.257549796E-01  4.286500022E+00 -1.642064819E-01  1.846117859E-01  1.365255737E-01 
        27  1.367132874E-01  1.848011017E-01 -1.642065582E-01 -7.851664535E-03  1.737947735E-01  2.630189443E-01  3.155733423E-01  4.182631464E+00 -1.642065582E-01  1.848011017E-01  1.367132874E-01 
        28  1.371019440E-01  1.849657440E-01 -1.642048645E-01  2.665885704E-03  2.014130319E-01  2.689790967E-01  3.362984257E-01  3.924981119E+00 -1.642048645E-01  1.849657440E-01  1.371019440E-01 
        29  1.341365356E-01  1.825439911E-01 -1.642038727E-01 -1.574947780E-02  1.492909801E-01  1.371871368E-01  2.034827675E-01  5.704374707E+00 -1.642038727E-01  1.825439911E-01  1.341365356E-01 
        30  1.373064575E-01  1.849505157E-01 -1.642031403E-01  7.012513459E-03  2.163232242E-01  2.625691980E-01  3.404801549E-01  3.815606029E+00 -1.642031403E-01  1.849505157E-01  1.373064575E-01 
        31  1.370599213E-01  1.851455383E-01 -1.641974182E-01  3.274265295E-03  2.168002786E-01  2.868091861E-01  3.597642545E-01  3.838831476E+00 -1.641974182E-01  1.851455383E-01  1.370599213E-01 
        32  1.367454071E-01  1.845979004E-01 -1.641969147E-01 -4.875971291E-03  1.734075709E-01  2.637939093E-01  3.158472947E-01  4.192151601E+00 -1.641969147E-01  1.845979004E-01  1.367454071E-01 
        33  1.369213867E-01  1.847758942E-01 -1.641970062E-01 -1.708760709E-03  1.804511486E-01  2.659181309E-01  3.214750947E-01  4.087268815E+00 -1.641970062E-01  1.847758942E-01  1.369213867E-01 
        34  1.371403809E-01  1.847808990E-01 -1.641961365E-01 -3.497074923E-04  1.888097307E-01  2.521594531E-01  3.151755211E-01  3.993650022E+00 -1.641961365E-01  1.847808990E-01  1.371403809E-01 
        35  1.372819519E-01  1.851185913E-01 -1.641959991E-01  1.162463226E-02  2.327570164E-01  2.893855505E-01  3.716555832E-01  3.699837670E+00 -1.641959991E-01  1.851185913E-01  1.372819519E-01 
        36  1.341650696E-01  1.823423309E-01 -1.641958618E-01 -2.062381899E-02  1.453629151E-01  1.416575388E-01  2.042945068E-01  5.689386335E+00 -1.641958618E-01  1.823423309E-01  1.341650696E-01 
        37  1.374894867E-01  1.851305542E-01 -1.641956482E-01  1.379165164E-02  2.593597350E-01  2.954515842E-01  3.935248340E-01  3.519128448E+00 -1.641956482E-01  1.851305542E-01  1.374894867E-01 
        38  1.355567627E-01  1.840160522E-01 -1.641892700E-01  1.330542703E-03  1.999677206E-01  2.819181591E-01  3.463334264E-01  5.317113250E+00 -1.641892700E-01  1.840160522E-01  1.355567627E-01 
        39  1.359740143E-01  1.842183685E-01 -1.641892242E-01  7.515893366E-03  2.183686399E-01  3.142749313E-01  3.829626716E-01  4.822433550E+00 -1.641892242E-01  1.842183685E-01  1.359740143E-01 
        40  1.369486389E-01  1.845850525E-01 -1.641880646E-01 -1.819160903E-03  1.713034199E-01  2.505073645E-01  3.036788147E-01  4.114614652E+00 -1.641880646E-01  1.845850525E-01  1.369486389E-01 
        41  1.376733704E-01  1.853114319E-01 -1.641881104E-01  2.050701951E-02  2.972427489E-01  3.335554290E-01  4.477937943E-01  3.093268548E+00 -1.641881104E-01  1.853114319E-01  1.376733704E-01 
        42  1.374749298E-01  1.853211823E-01 -1.641875610E-01  2.198785699E-02  2.753382669E-01  3.237453084E-01  4.257974723E-01  3.336408285E+00 -1.641875610E-01  1.853211823E-01  1.374749298E-01 
        43  1.372508087E-01  1.853321991E-01 -1.641869354E-01  1.250630627E-02  2.424094934E-01  3.122582596E-01  3.958030503E-01  3.549914688E+00 -1.641869354E-01  1.853321991E-01  1.372508087E-01 
        44  1.344767914E-01  1.830994873E-01 -1.641842346E-01 -3.910659190E-03  1.663774841E-01  1.640009983E-01  2.336973815E-01  5.927614295E+00 -1.641842346E-01  1.830994873E-01  1.344767914E-01 
        45  1.378321533E-01  1.854756165E-01 -1.641820831E-01  1.644762427E-02  3.139334497E-01  3.742435094E-01  4.895263017E-01  2.602115439E+00 -1.641820831E-01  1.854756165E-01  1.378321533E-01 
        46  1.339383240E-01  1.823472595E-01 -1.641807251E-01 -2.092477804E-02  1.655540148E-01  1.650849647E-01  2.349464179E-01  5.527889753E+00 -1.641807251E-01  1.823472595E-01  1.339383240E-01 
        47  1.346589050E-01  1.833033447E-01 -1.641797180E-01 -9.723212560E-04  1.780199400E-01  1.840069871E-01  2.560435079E-01  5.919681238E+00 -1.641797180E-01  1.833033447E-01  1.346589050E-01 
        48  1.349361267E-01  1.827012024E-01 -1.641794586E-01 -3.989302281E-04  1.819557666E-01  1.793941617E-01  2.556284539E-01  5.963623263E+00 -1.641794586E-01  1.827012024E-01  1.349361267E-01 
        49  1.365604553E-01  1.844005432E-01 -1.641774445E-01 -5.165661135E-04  1.939061086E-01  2.889288790E-01  3.482794205E-01  4.302680122E+00 -1.641774445E-01  1.844005432E-01  1.365604553E-01 
        50  1.348194580E-01  1.834683685E-01 -1.641761475E-01  5.414442341E-03  1.869901416E-01  2.072635360E-01  2.793886143E-01  5.877689427E+00 -1.641761475E-01  1.834683685E-01  1.348194580E-01 
        51  1.347533875E-01  1.824999847E-01 -1.641753387E-01 -6.893732522E-03  1.537295453E-01  1.478788117E-01  2.135456835E-01  5.993397817E+00 -1.641753387E-01  1.824999847E-01  1.347533875E-01 
        52  1.364077759E-01  1.842134247E-01 -1.641746521E-01  7.168955314E-03  2.016056802E-01  3.051474186E-01  3.659343832E-01  4.450107216E+00 -1.641746521E-01  1.842134247E-01  1.364077759E-01 
        53  1.380330200E-01  1.856832886E-01 -1.641744537E-01  1.183840964E-02  2.815075438E-01  3.881391333E-01  4.805115509E-01  2.104954731E+00 -1.641744537E-01  1.856832886E-01  1.380330200E-01 
        54  1.341714630E-01  1.821372375E-01 -1.641742096E-01 -2.243246550E-02  1.327121540E-01  1.423932761E-01  1.959526983E-01  5.628542085E+00 -1.641742096E-01  1.821372375E-01  1.341714630E-01 
        55  1.381920319E-01  1.858562775E-01 -1.641712646E-01  3.870221134E-03  2.479465613E-01  3.424562577E-01  4.233023951E-01  1.808700970E+00 -1.641712646E-01  1.858562775E-01  1.381920319E-01 
        56  1.342938843E-01  1.829404144E-01 -1.641692352E-01 -1.015613924E-02  1.566871463E-01  1.518257418E-01  2.184743071E-01  5.874668526E+00 -1.641692352E-01  1.829404144E-01  1.342938843E-01 
