Batch started: Sun Feb 22 19:38:34 EAST 2026
Mesh,Re,Dh,Velocity,MaxIters,Status,Time
coronary_extracted_vessel,50,0.0033511306950876883,0.014992083971134874,2500,OK,4431s
coronary_extracted_vessel,75,0.0033511306950876883,0.02248812595670231,2500,OK,169s
coronary_extracted_vessel,100,0.0033511306950876883,0.029984167942269747,2500,OK,183s
coronary_extracted_vessel,125,0.0033511306950876883,0.03748020992783719,2500,OK,198s
coronary_extracted_vessel,150,0.0033511306950876883,0.04497625191340462,2500,OK,206s
coronary_extracted_vessel,175,0.0033511306950876883,0.05247229389897205,2500,OK,231s
coronary_extracted_vessel,200,0.0033511306950876883,0.059968335884539495,2500,OK,246s
coronary_extracted_vessel,225,0.0033511306950876883,0.06746437787010692,3500,OK,278s
coronary_extracted_vessel,250,0.0033511306950876883,0.07496041985567438,3500,OK,292s
coronary_extracted_vessel,275,0.0033511306950876883,0.08245646184124181,3500,OK,306s
coronary_extracted_vessel,300,0.0033511306950876883,0.08995250382680924,3500,OK,294s
coronary_extracted_vessel,350,0.0033511306950876883,0.1049445877979441,3500,OK,354s
coronary_extracted_vessel,400,0.0033511306950876883,0.11993667176907899,3500,OK,522s
coronary_extracted_vessel,450,0.0033511306950876883,0.13492875574021385,3500,OK,400s
coronary_extracted_vessel,500,0.0033511306950876883,0.14992083971134876,3500,OK,418s
coronary_extracted_vessel,600,0.0033511306950876883,0.17990500765361847,5000,OK,505s
coronary_extracted_vessel,700,0.0033511306950876883,0.2098891755958882,5000,OK,6578s
coronary_extracted_vessel,800,0.0033511306950876883,0.23987334353815798,5000,OK,6637s
