nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -5.398180341E-03  6.332820130E-01  6.397052517E-01  9.005209724E-01  2.491833783E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  6.046084510E-03  6.875425092E-01  7.007516396E-01  9.819522113E-01  2.531891655E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  5.365389097E-02  7.492341440E-01  8.961915886E-01  1.173546079E+00  2.546807764E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.551885468E-02  5.486815666E-01  5.393938009E-01  7.698408398E-01  2.450757940E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  1.025163037E-02  6.136688010E-01  6.497734386E-01  8.950950978E-01  2.496103393E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.218116261E-02  4.998659423E-01  4.954579787E-01  7.052827928E-01  2.404120110E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  6.755186144E-03  7.591636287E-01  8.249391566E-01  1.121653868E+00  2.567492105E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  8.283669107E-02  9.216000101E-01  1.209231262E+00  1.525769476E+00  2.491723379E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -2.791851386E-02  5.340318941E-01  5.244908293E-01  7.495611294E-01  2.378903629E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  2.408130678E-02  9.517365942E-01  1.155869076E+00  1.498285124E+00  2.557673435E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  5.293826021E-02  1.017585418E+00  1.348992961E+00  1.691367575E+00  2.454459881E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  1.108372948E-01  9.890562020E-01  1.450558181E+00  1.761188814E+00  2.335338532E+01 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -3.041215493E-02  4.750436576E-01  4.359926345E-01  6.461683815E-01  2.311593832E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  1.435856066E-01  9.612489434E-01  1.508071081E+00  1.800426448E+00  2.252355131E+01 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -3.739682462E-02  5.093125513E-01  4.709829506E-01  6.948806370E-01  2.208701315E+01 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -3.357922493E-02  4.017184767E-01  3.584309459E-01  5.399160692E-01  2.252209709E+01 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  3.385377200E-02  1.041453999E+00  1.353201761E+00  1.710121564E+00  2.479734655E+01 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  1.343292161E-01  1.008529065E+00  1.666362500E+00  1.959828475E+00  2.103675135E+01 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -4.262074368E-02  4.665617815E-01  3.870922550E-01  6.087301634E-01  2.141942269E+01 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  8.554800523E-02  1.098739533E+00  1.747485647E+00  2.070466684E+00  1.899985346E+01 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -5.085681324E-02  4.050604298E-01  3.642018857E-01  5.475103479E-01  2.089564219E+01 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  2.131165648E-02  1.022388411E+00  1.389254550E+00  1.729359545E+00  2.393870627E+01 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
        23  1.368920288E-01  1.849813843E-01 -1.642066345E-01 -2.601160362E-02  7.413017510E-01  1.259450655E+00  1.462976779E+00  1.652065664E+01 -1.642066345E-01  1.849813843E-01  1.368920288E-01 
        24  1.361627655E-01  1.842234955E-01 -1.642064209E-01  3.390218465E-02  1.092639364E+00  1.684472503E+00  2.011050559E+00  1.735291329E+01 -1.642064209E-01  1.842234955E-01  1.361627655E-01 
