nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.447206464E-02  1.425075446E+00  1.420578571E+00  2.013285525E+00  7.335757528E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  1.325852610E-02  1.638911828E+00  1.492739005E+00  2.220632847E+00  7.552742154E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  9.395080995E-02  2.086221413E+00  2.169718144E+00  3.021057013E+00  7.722148715E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -3.081105749E-02  1.175566283E+00  1.020663223E+00  1.559851879E+00  7.122349991E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  1.251040028E-02  1.441888325E+00  1.346905760E+00  1.981392521E+00  7.412836872E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.028338800E-02  9.781436328E-01  9.808312196E-01  1.390998968E+00  6.892305180E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  1.612188310E-02  1.910765699E+00  2.010683179E+00  2.775820266E+00  7.724967301E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  1.980972456E-01  2.745045570E+00  3.287520362E+00  4.292758777E+00  7.481555592E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -5.643037472E-02  1.122377433E+00  1.063721081E+00  1.550576008E+00  6.778650997E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  5.930376200E-02  2.626135371E+00  3.170517356E+00  4.121408368E+00  7.717192233E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
