nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -5.159646579E-04  4.112566828E-02  4.116643204E-02  5.820670593E-02  1.524910963E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  3.279937040E-04  4.388763398E-02  4.213099262E-02  6.087843845E-02  1.512757861E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  1.299948141E-03  4.630687009E-02  4.564855671E-02  6.511407038E-02  1.497517662E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.170850585E-03  4.086818103E-02  3.989021526E-02  5.712901312E-02  1.537397470E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01 -3.989022563E-04  4.387887910E-02  4.213084275E-02  6.084756298E-02  1.526698545E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.729100834E-03  4.078672368E-02  3.817914668E-02  5.592068748E-02  1.549571746E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  5.314992317E-04  4.360104895E-02  4.491997707E-02  6.263230044E-02  1.494410614E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  2.285631778E-03  4.829089084E-02  5.195760763E-02  7.099563376E-02  1.460964849E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -1.995488080E-03  3.938962605E-02  3.870345446E-02  5.525951951E-02  1.545238559E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  1.409310301E-03  4.593578116E-02  5.114771563E-02  6.878454520E-02  1.460761576E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  2.468478655E-03  4.854819208E-02  5.421991827E-02  7.284951135E-02  1.435403369E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  3.122619022E-03  4.961377858E-02  5.775917019E-02  7.624766213E-02  1.406556093E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -2.562210075E-03  3.908666352E-02  3.712445852E-02  5.397637319E-02  1.556173022E+00 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  4.251904410E-03  4.806514068E-02  5.913593809E-02  7.648155156E-02  1.366076361E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -3.153085329E-03  3.786833489E-02  3.693898047E-02  5.300308366E-02  1.561179076E+00 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -3.368884696E-03  3.816921827E-02  3.586336009E-02  5.248795870E-02  1.567128882E+00 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  2.038989872E-03  4.758896961E-02  5.496016681E-02  7.275787413E-02  1.425027266E+00 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  4.099449611E-03  4.745114373E-02  6.397992866E-02  7.987378949E-02  1.322219482E+00 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -3.719306238E-03  3.750832384E-02  3.669463409E-02  5.260975738E-02  1.570083094E+00 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
