nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -8.706876670E-04  6.347346547E-02  6.434184620E-02  9.040998167E-02  2.453590287E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  5.143173110E-04  6.775112117E-02  6.620288649E-02  9.479003153E-02  2.438151765E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  2.242989228E-03  7.206389017E-02  7.262723526E-02  1.024652733E-01  2.416745810E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.799308798E-03  6.275234463E-02  6.157420959E-02  8.794805820E-02  2.469191054E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01 -5.170172740E-04  6.748251682E-02  6.543776853E-02  9.402185298E-02  2.456565252E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -2.642867696E-03  6.268378704E-02  5.854506461E-02  8.585850536E-02  2.484826712E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  7.024119728E-04  6.791511287E-02  7.124087294E-02  9.847245322E-02  2.412967386E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  3.943241275E-03  7.626935835E-02  8.426511817E-02  1.137675456E-01  2.360510284E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -3.123858923E-03  6.052235856E-02  5.970555964E-02  8.507662369E-02  2.475723387E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  2.030425721E-03  7.256110633E-02  8.252607820E-02  1.099454227E-01  2.363169686E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  3.916914321E-03  7.685698758E-02  8.812309609E-02  1.170419706E-01  2.321060151E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  5.470532988E-03  7.863907613E-02  9.461807656E-02  1.232259470E-01  2.272509633E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -3.919605787E-03  5.995903845E-02  5.667476432E-02  8.261513022E-02  2.487764655E+00 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  7.390632841E-03  7.620010514E-02  9.717923596E-02  1.239876049E-01  2.207726604E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -4.828342516E-03  5.814506350E-02  5.662457192E-02  8.131788337E-02  2.486793461E+00 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -5.146165020E-03  5.825510878E-02  5.433509640E-02  7.983866689E-02  2.500599452E+00 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  2.875324625E-03  7.529539078E-02  8.955738408E-02  1.170943385E-01  2.306712545E+00 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  7.070183161E-03  7.556021441E-02  1.059578310E-01  1.305404464E-01  2.135753069E+00 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -5.663516083E-03  5.755825019E-02  5.553816490E-02  8.019305659E-02  2.495228092E+00 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  5.185366923E-03  7.925230662E-02  1.097320550E-01  1.356347928E-01  2.046077856E+00 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -6.577875172E-03  5.469050176E-02  5.653394202E-02  7.898377987E-02  2.503005870E+00 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  1.916840431E-03  7.302533733E-02  9.263847414E-02  1.181343637E-01  2.236936188E+00 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
        23  1.368920288E-01  1.849813843E-01 -1.642066345E-01 -3.491529887E-04  7.676581377E-02  1.050124355E-01  1.301572154E-01  1.687956276E+00 -1.642066345E-01  1.849813843E-01  1.368920288E-01 
        24  1.361627655E-01  1.842234955E-01 -1.642064209E-01  2.118586173E-03  7.939724804E-02  1.108977299E-01  1.365609561E-01  1.959935308E+00 -1.642064209E-01  1.842234955E-01  1.361627655E-01 
        25  1.363498077E-01  1.844236755E-01 -1.642064514E-01 -1.328279316E-03  7.773963232E-02  1.047593164E-01  1.305742732E-01  1.877115210E+00 -1.642064514E-01  1.844236755E-01  1.363498077E-01 
        26  1.365255737E-01  1.846117859E-01 -1.642064819E-01 -3.486876383E-03  7.366637958E-02  1.011726695E-01  1.252717034E-01  1.813041358E+00 -1.642064819E-01  1.846117859E-01  1.365255737E-01 
