nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.324965910E-03  9.114705627E-02  9.336192589E-02  1.305208003E-01  3.484203042E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  7.492656059E-04  9.676362111E-02  9.634763915E-02  1.366338129E-01  3.467469827E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  3.625145607E-03  1.029987640E-01  1.065315495E-01  1.484204934E-01  3.440347962E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -2.579924701E-03  8.960351142E-02  8.863675819E-02  1.260847694E-01  3.500739573E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01 -4.852835235E-04  9.578916282E-02  9.445039670E-02  1.345475836E-01  3.487747611E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -3.630378843E-03  8.948027183E-02  8.422123699E-02  1.230090653E-01  3.517890934E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  8.711968386E-04  9.792688026E-02  1.042888979E-01  1.431229890E-01  3.437188549E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  6.250425535E-03  1.105163194E-01  1.254064724E-01  1.673468739E-01  3.362026610E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -4.507560621E-03  8.680331434E-02  8.573958573E-02  1.220991313E-01  3.502294106E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  2.767630857E-03  1.059600273E-01  1.225618953E-01  1.620945736E-01  3.370899184E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  5.708162310E-03  1.118132429E-01  1.314642530E-01  1.727487387E-01  3.306817351E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  8.703890221E-03  1.140466150E-01  1.417052424E-01  1.822259512E-01  3.232207482E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -5.602186903E-03  8.586702319E-02  8.081328044E-02  1.180760034E-01  3.512224998E+00 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  1.163590138E-02  1.105641843E-01  1.452743154E-01  1.833619206E-01  3.138425025E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -6.768155391E-03  8.346486540E-02  8.038289842E-02  1.160951227E-01  3.497501724E+00 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -7.200356484E-03  8.281403251E-02  7.729515008E-02  1.135271385E-01  3.524350025E+00 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
