nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -2.181733253E-03  2.589179539E-01  2.572306835E-01  3.651148284E-01  8.948075617E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  2.231042831E-03  2.736786036E-01  2.748604326E-01  3.879707476E-01  8.952375332E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  1.437678366E-02  2.821631493E-01  3.117834709E-01  4.216136880E-01  8.896281711E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -6.911269689E-03  2.456613645E-01  2.401269180E-01  3.436924201E-01  8.948472377E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  1.525872431E-03  2.577227859E-01  2.666180306E-01  3.709437859E-01  8.961600017E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -7.874847776E-03  2.344967758E-01  2.257967283E-01  3.259420271E-01  8.933973135E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  2.889104654E-03  2.796497016E-01  2.974183235E-01  4.084712067E-01  8.913173205E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  2.216423550E-02  3.121656478E-01  3.791304147E-01  4.920889207E-01  8.671653539E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -1.004027957E-02  2.364440447E-01  2.203805887E-01  3.234218325E-01  8.859457205E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  8.153075831E-03  3.115328785E-01  3.691103028E-01  4.832529102E-01  8.761768467E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  1.673536310E-02  3.248827072E-01  4.062588457E-01  5.206702902E-01  8.526219024E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
