nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -2.790083941E-03  4.026736483E-01  3.966889902E-01  5.654603703E-01  1.428932493E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  3.640171054E-03  4.305612445E-01  4.339310217E-01  6.113650629E-01  1.437952003E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  2.728319759E-02  4.440019709E-01  5.125562528E-01  6.805318632E-01  1.433312449E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.014671591E-02  3.640096989E-01  3.541438939E-01  5.081027128E-01  1.419713755E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  4.327173521E-03  3.894537193E-01  4.091680218E-01  5.653039441E-01  1.430646282E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.060308248E-02  3.360956277E-01  3.227796834E-01  4.668102205E-01  1.406607289E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  4.668884046E-03  4.508252159E-01  4.825857669E-01  6.607888607E-01  1.440229417E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  4.085416007E-02  5.108210040E-01  6.454378888E-01  8.253214102E-01  1.397200995E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -1.517117664E-02  3.467410185E-01  3.246143657E-01  4.753809759E-01  1.393194479E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  1.382222185E-02  5.234607026E-01  6.274362027E-01  8.176043869E-01  1.420570540E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  2.828784625E-02  5.466372929E-01  7.045796341E-01  8.925889861E-01  1.374059169E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  5.368634998E-02  5.310951889E-01  7.451958129E-01  9.175041914E-01  1.321637661E+01 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -1.994474627E-02  3.170570584E-01  2.821619961E-01  4.252011957E-01  1.371038629E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  6.976081976E-02  5.123635961E-01  7.653939714E-01  9.265378561E-01  1.276980689E+01 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -2.140780574E-02  3.139061123E-01  2.790330520E-01  4.206594931E-01  1.325900715E+01 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -2.481879553E-02  2.781789909E-01  2.395214319E-01  3.681036669E-01  1.350410941E+01 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  1.818501740E-02  5.544306656E-01  7.098934080E-01  9.019040017E-01  1.378774633E+01 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
