nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -7.925095655E-03  7.314070258E-01  7.514527521E-01  1.049061535E+00  2.969339721E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  6.925865425E-03  7.923171270E-01  8.120994135E-01  1.134985854E+00  3.023544327E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  6.313935486E-02  8.835143278E-01  1.055538837E+00  1.382781500E+00  3.051725181E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.789347426E-02  6.252138014E-01  6.225599215E-01  8.828294802E-01  2.911584603E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  1.306459639E-02  7.063719112E-01  7.513008953E-01  1.033020629E+00  2.974400321E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.108702331E-02  5.634267525E-01  5.748579206E-01  8.065968948E-01  2.847076283E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  6.737956526E-03  8.867066593E-01  9.715078566E-01  1.315888021E+00  3.076775117E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  9.963249523E-02  1.108304913E+00  1.451978344E+00  1.833071636E+00  2.989588462E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -3.431858565E-02  6.183090249E-01  6.208870700E-01  8.775156946E-01  2.819384221E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  2.799629056E-02  1.137442769E+00  1.385590189E+00  1.793914515E+00  3.074677132E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
