nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -3.014388367E-03  4.491241344E-01  4.426565493E-01  6.308400223E-01  1.625332714E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  4.122169998E-03  4.821015697E-01  4.859644386E-01  6.846077078E-01  1.639284881E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  3.225868315E-02  5.009720576E-01  5.846614983E-01  7.729090106E-01  1.636602000E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -1.117468472E-02  4.010702574E-01  3.894072929E-01  5.592816471E-01  1.611131607E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  5.351635399E-03  4.333276865E-01  4.557983008E-01  6.294864620E-01  1.627336430E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -1.136824132E-02  3.693222029E-01  3.542311237E-01  5.127324098E-01  1.592560861E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  5.077380215E-03  5.101481476E-01  5.478633076E-01  7.490615931E-01  1.646013836E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  4.833436222E-02  5.846574771E-01  7.472836096E-01  9.515560560E-01  1.596410396E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -1.722426405E-02  3.827851208E-01  3.605546729E-01  5.263764188E-01  1.576739005E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  1.562803425E-02  6.022128483E-01  7.253518252E-01  9.433282678E-01  1.626645043E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  3.270152964E-02  6.308631023E-01  8.206473284E-01  1.036070631E+00  1.570619067E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
