nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -2.361411073E-03  3.068605989E-01  3.030131774E-01  4.314170547E-01  1.062958686E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  2.663759328E-03  3.255177385E-01  3.271934024E-01  4.616164619E-01  1.065267391E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  1.827273549E-02  3.344460634E-01  3.756377434E-01  5.044164666E-01  1.059278318E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -8.011188044E-03  2.867660124E-01  2.792579593E-01  4.004673455E-01  1.060934003E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  2.349741942E-03  3.020709255E-01  3.141988627E-01  4.360520539E-01  1.064456651E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -8.795069542E-03  2.689223816E-01  2.592672793E-01  3.740549403E-01  1.056485277E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  3.469931829E-03  3.341836346E-01  3.562852874E-01  4.887520479E-01  1.062293247E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  2.768293652E-02  3.740500945E-01  4.606205255E-01  5.946790040E-01  1.032038895E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -1.158812540E-02  2.737422583E-01  2.544502584E-01  3.739830201E-01  1.047250454E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  9.970265595E-03  3.770596385E-01  4.485334693E-01  5.862811102E-01  1.044863276E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  2.025668914E-02  3.925473852E-01  4.966341565E-01  6.336234974E-01  1.014615940E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  3.685573382E-02  3.858306675E-01  5.273536602E-01  6.550134429E-01  9.801707068E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -1.615948061E-02  2.554824573E-01  2.293373925E-01  3.438450923E-01  1.037315841E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  4.808353435E-02  3.712781230E-01  5.392578835E-01  6.583465220E-01  9.479182210E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -1.674485200E-02  2.472207358E-01  2.197245164E-01  3.312616645E-01  1.010513775E+01 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -1.978870070E-02  2.280179581E-01  2.028230416E-01  3.059248828E-01  1.027440031E+01 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  1.294291286E-02  3.955085833E-01  5.022986583E-01  6.400570419E-01  1.015233021E+01 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  4.451530508E-02  3.778038836E-01  5.933400219E-01  7.066779412E-01  9.043461893E+00 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -2.134218771E-02  2.324456957E-01  1.965934862E-01  3.053247877E-01  9.966760170E+00 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  2.966114886E-02  4.017221279E-01  6.170770054E-01  7.382733566E-01  8.467316706E+00 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -2.632980149E-02  2.080374406E-01  1.921404734E-01  2.846580736E-01  9.845132384E+00 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  7.161668464E-03  3.778181880E-01  5.078106363E-01  6.341113737E-01  9.819238024E+00 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
        23  1.368920288E-01  1.849813843E-01 -1.642066345E-01 -7.311436815E-03  3.246735937E-01  5.073817886E-01  6.028909725E-01  7.151405949E+00 -1.642066345E-01  1.849813843E-01  1.368920288E-01 
        24  1.361627655E-01  1.842234955E-01 -1.642064209E-01  1.159825597E-02  4.014193204E-01  6.083356027E-01  7.298777047E-01  7.959537616E+00 -1.642064209E-01  1.842234955E-01  1.361627655E-01 
        25  1.363498077E-01  1.844236755E-01 -1.642064514E-01 -8.347290650E-03  3.721249423E-01  5.439840381E-01  6.600081992E-01  7.588464509E+00 -1.642064514E-01  1.844236755E-01  1.363498077E-01 
        26  1.365255737E-01  1.846117859E-01 -1.642064819E-01 -1.908336441E-02  3.293199454E-01  5.011028712E-01  6.004632846E-01  7.423350975E+00 -1.642064819E-01  1.846117859E-01  1.365255737E-01 
        27  1.367132874E-01  1.848011017E-01 -1.642065582E-01 -1.566044065E-02  3.036874612E-01  4.841973605E-01  5.722777002E-01  7.334139627E+00 -1.642065582E-01  1.848011017E-01  1.367132874E-01 
