nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.698740561E-03  1.256730391E-01  1.285105125E-01  1.798073348E-01  4.641984218E+00 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  1.045469694E-03  1.327303716E-01  1.332524574E-01  1.881737363E-01  4.625406254E+00 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  5.493104542E-03  1.403963444E-01  1.481542461E-01  2.044765774E-01  4.591719753E+00 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -3.537955135E-03  1.228549743E-01  1.218320183E-01  1.730921209E-01  4.658495989E+00 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01 -3.193501020E-04  1.304415525E-01  1.304640809E-01  1.845177397E-01  4.646040330E+00 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -4.739397105E-03  1.223984807E-01  1.162232737E-01  1.689677603E-01  4.675439060E+00 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  1.153308809E-03  1.349526099E-01  1.444721762E-01  1.977887496E-01  4.590977793E+00 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  9.253022661E-03  1.520134944E-01  1.763689478E-01  2.331525952E-01  4.486173012E+00 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -5.943498660E-03  1.196169966E-01  1.165590863E-01  1.671339297E-01  4.650215186E+00 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  3.760616458E-03  1.473928881E-01  1.722335247E-01  2.267995833E-01  4.506483298E+00 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  7.928839216E-03  1.549013237E-01  1.858943246E-01  2.422027475E-01  4.412945089E+00 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  1.280913181E-02  1.567017748E-01  2.000937838E-01  2.546540226E-01  4.303319874E+00 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -7.636558937E-03  1.178413477E-01  1.095124924E-01  1.610935693E-01  4.654878757E+00 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  1.694187394E-02  1.517137055E-01  2.046531579E-01  2.559428121E-01  4.175601937E+00 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -8.783931995E-03  1.142681697E-01  1.074910539E-01  1.571533149E-01  4.616394178E+00 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -9.657911787E-03  1.126624429E-01  1.046076908E-01  1.540667381E-01  4.663247443E+00 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  5.104695567E-03  1.529507307E-01  1.893655818E-01  2.436378309E-01  4.394466836E+00 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  1.592732675E-02  1.512974639E-01  2.248289676E-01  2.719998631E-01  4.025500841E+00 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -1.076001451E-02  1.121640014E-01  1.034608124E-01  1.530104341E-01  4.611483534E+00 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  1.119200733E-02  1.598335507E-01  2.334768717E-01  2.836044272E-01  3.833060658E+00 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -1.254889933E-02  1.042449168E-01  1.055365009E-01  1.489724700E-01  4.605186877E+00 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
