nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        30  1.373064575E-01  1.849505157E-01 -1.642031403E-01  1.012572418E-01  1.778238313E+00  2.503061560E+00  3.074882134E+00  3.497590297E+01 -1.642031403E-01  1.849505157E-01  1.373064575E-01 
        31  1.370599213E-01  1.851455383E-01 -1.641974182E-01 -1.030453449E-02  2.072350911E+00  3.116469423E+00  3.746430460E+00  3.527606758E+01 -1.641974182E-01  1.851455383E-01  1.370599213E-01 
        32  1.367454071E-01  1.845979004E-01 -1.641969147E-01 -3.773410692E-02  1.600682178E+00  2.734005484E+00  3.170237925E+00  3.362602470E+01 -1.641969147E-01  1.845979004E-01  1.367454071E-01 
        33  1.369213867E-01  1.847758942E-01 -1.641970062E-01 -3.518085094E-03  1.546569629E+00  2.749040943E+00  3.155848410E+00  3.548989025E+01 -1.641970062E-01  1.847758942E-01  1.369213867E-01 
        34  1.371403809E-01  1.847808990E-01 -1.641961365E-01  3.442510845E-02  1.476478658E+00  2.362523818E+00  2.789073344E+00  3.537596133E+01 -1.641961365E-01  1.847808990E-01  1.371403809E-01 
        35  1.372819519E-01  1.851185913E-01 -1.641959991E-01  1.086983504E-01  2.135947901E+00  3.030641927E+00  3.710847070E+00  3.385517916E+01 -1.641959991E-01  1.851185913E-01  1.372819519E-01 
        36  1.341650696E-01  1.823423309E-01 -1.641958618E-01 -1.328586400E-01  1.059112277E+00  7.753909510E-01  1.324003457E+00  4.005445731E+01 -1.641958618E-01  1.823423309E-01  1.341650696E-01 
        37  1.374894867E-01  1.851305542E-01 -1.641956482E-01  1.615032504E-01  2.380254678E+00  3.022063495E+00  3.852627787E+00  3.163215950E+01 -1.641956482E-01  1.851305542E-01  1.374894867E-01 
        38  1.355567627E-01  1.840160522E-01 -1.641892700E-01  1.362875819E-02  2.865503144E+00  4.005502591E+00  4.936577804E+00  5.454946597E+01 -1.641892700E-01  1.840160522E-01  1.355567627E-01 
        39  1.359740143E-01  1.842183685E-01 -1.641892242E-01  9.058348384E-02  3.088622484E+00  4.579600296E+00  5.527213338E+00  4.009249609E+01 -1.641892242E-01  1.842183685E-01  1.359740143E-01 
        40  1.369486389E-01  1.845850525E-01 -1.641880646E-01  2.387878991E-02  1.406231382E+00  2.369676005E+00  2.757998565E+00  3.401130755E+01 -1.641880646E-01  1.845850525E-01  1.369486389E-01 
        41  1.376733704E-01  1.853114319E-01 -1.641881104E-01  2.292647375E-01  3.047043460E+00  3.637363755E+00  4.758816281E+00  2.468632649E+01 -1.641881104E-01  1.853114319E-01  1.376733704E-01 
        42  1.374749298E-01  1.853211823E-01 -1.641875610E-01  2.228794025E-01  2.751570503E+00  3.564524051E+00  4.511616612E+00  2.904384565E+01 -1.641875610E-01  1.853211823E-01  1.374749298E-01 
        43  1.372508087E-01  1.853321991E-01 -1.641869354E-01  8.730994346E-02  2.428952384E+00  3.475127037E+00  4.244089191E+00  3.231119353E+01 -1.641869354E-01  1.853321991E-01  1.372508087E-01 
        44  1.344767914E-01  1.830994873E-01 -1.641842346E-01 -4.134341086E-02  1.399151265E+00  1.416648575E+00  1.993961238E+00  5.665248887E+01 -1.641842346E-01  1.830994873E-01  1.344767914E-01 
        45  1.378321533E-01  1.854756165E-01 -1.641820831E-01  1.878417510E-01  3.450695026E+00  4.231948114E+00  5.473845559E+00  1.431990202E+01 -1.641820831E-01  1.854756165E-01  1.378321533E-01 
